36931,1881,84575325
36080,88,4428661
30573,88,4833435
60648,88,4404428
30525,97,11214145
16221,99,14274535
32043,75,1252665
33661,92,6635362
73876,76,1358959
17571,88,4610647
30571,82,2441761
146131,67,563506
208917,70,791457
44048,85,3287038
21181,82,2461088
13691,88,4387457
37700,79,1865949
93095,70,803768
74957,71,837557
26881,91,6317570
32580,88,4625695
32989,66,512089
57449,76,1400389
35647,75,1267164
-1,-1
-1,-1
-1,-1
10887,541
11430,31
4896,179
16902,133
13037,182
21205,15
28212,1
-1,-1
-1,-1
-1,-1
-1,-1
42551,229
-1,-1
-1,-1
18833,196
-1,-1
-1,-1
1061,262
-1,-1
10602,57
-1,-1
3450,156
8260,210
14645,253
-1,-1
-1,-1
-1,-1
10300,72
1426,253
22520,47
-1,-1
-1,-1
18423,746
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
3698,119
-1,-1
12516,29
569,112
5883,17
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
26,2339
-1,-1
